category,image_name,image_number,image_iter,fixation_duration,fixation_blank_duration,delay_duration,resp_choices,delay_in_between,visb_choices,convert,corrAns
Living_Things,processed/face/face-5_16.png,5,16,0.47379952179419743,0.8891690477222749,1.7554858389361736,nV_V,0.8651564631351554,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-11_16.png,11,16,0.3471401480274894,0.9324160872567765,1.5349706840530994,nV_V,0.93515531283323,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-3_16.png,3,16,0.46055835619694496,0.6023043108146886,1.1096842745353634,V_nV,0.9161625168185976,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-32_16.png,32,16,0.2512578752967147,0.8907489675699486,1.969131537759512,nV_V,0.8722982049861467,?,Nonliving_Things-Living_Things,1
Nonliving_Things,processed/nonliving/nonliving-63_16.png,63,16,0.4581841475257477,0.5889276972570083,1.4454276235071475,V_nV,0.771252621536864,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-35_16.png,35,16,0.3854788350166155,0.8744423643358417,1.3766356597637142,V_nV,0.954235920832609,?,Living_Things-Nonliving_Things,1
Living_Things,processed/face/face-41_16.png,41,16,0.34623696167786217,0.8097188013781718,1.6422151572687715,V_nV,0.8184410622460767,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-31_16.png,31,16,0.3310870563081978,0.9723830633852737,1.2953836094536486,V_nV,0.6924122943295794,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-99_16.png,99,16,0.4256307807151436,0.6730087333875858,1.7489278193540074,nV_V,0.8604992620493918,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-73_16.png,73,16,0.4071037954430904,0.6371292921535454,1.5883137266781493,nV_V,0.690007153476376,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-74_16.png,74,16,0.4846607498636776,0.6769641039021839,1.6581083486592165,V_nV,0.5596923358126917,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-15_16.png,15,16,0.4624524930648657,0.958799122480281,1.2325261317533054,nV_V,0.5693368523567133,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-52_16.png,52,16,0.2637061030982594,0.6124668218816289,1.1841599094540982,V_nV,0.6704464084506736,?,Living_Things-Nonliving_Things,1
Living_Things,processed/face/face-50_16.png,50,16,0.438977377985552,0.7409444225969299,1.9643655177078174,V_nV,0.8859536768749365,?,Living_Things-Nonliving_Things,1
